,Volatility
DGX,0.019221253671161793
RL,0.030856647445492
RJF,0.02579218104782765
RTX,0.024412237335255976
O,0.024407885033667608
REG,0.028558950792935075
REGN,0.021825062961764286
RF,0.031249614456434843
RSG,0.016431028825782342
RMD,0.023399454642988645
RVTY,0.022037343517106726
ROK,0.023958771510000563
ROL,0.020031074318469844
ROP,0.019031943647707723
ROST,0.029057925454858934
RCL,0.05147886478160224
SPGI,0.02173648312318103
CRM,0.027578468732415796
SBAC,0.0209615721046396
SLB,0.03707846217980072
STX,0.026258794698871407
SRE,0.02069509850206937
NOW,0.030077474687736
SHW,0.02142191592080673
SPG,0.03754081979109466
SWKS,0.02894288914222331
SJM,0.016575484846540107
SNA,0.022122916563067384
SO,0.01943508472040816
LUV,0.02916056859319513
SWK,0.02906810792017185
SBUX,0.02259290151941322
STT,0.028189158144635143
STLD,0.03126730426926865
STE,0.020117111549021564
SYK,0.02257880645514023
SMCI,0.034841202078392974
SYF,0.03428606486371399
SNPS,0.024568140215931192
SYY,0.029092048933711683
TMUS,0.020200368989967295
TROW,0.025010902547248335
TTWO,0.024759852493987416
TPR,0.03774535717506183
TRGP,0.05086460394726714
TGT,0.023855470680343643
TEL,0.023065364296569094
TDY,0.023663049015268795
TFX,0.02310144753449112
TER,0.031565318613879845
TSLA,0.0454582720762394
TXN,0.021775411419766893
TXT,0.02941177236623267
TMO,0.019878894967656918
TJX,0.02424261176929173
TSCO,0.02152427474842221
TT,0.021479844993311455
TDG,0.030666519311977863
TRV,0.021400920609167935
TRMB,0.02722356093207038
TFC,0.028857635842527946
TYL,0.02236052035047247
TSN,0.02175617443156434
USB,0.025616574423294482
UBER,0.038993938193532564
UDR,0.022536967039352148
ULTA,0.029541178679141033
UNP,0.019572939295048372
UAL,0.04593676805868617
UPS,0.020733972422321886
URI,0.0317383309159602
UNH,0.020864751432006445
UHS,0.029649962803520745
VLO,0.035773350639819596
VTR,0.03487339444286659
VRSN,0.02058472698125935
VRSK,0.019178487978617105
VZ,0.01319480878280551
VRTX,0.022754516231688622
VTRS,0.026072788032613634
VICI,0.02737713593023859
V,0.02103636674089816
VST,0.027500752762594845
VMC,0.02451688276399811
WRB,0.021461726572181532
GWW,0.020320115795094292
WAB,0.025302164575292555
WBA,0.02309379243517874
WMT,0.016198851333290385
DIS,0.024077706125446283
WBD,0.03600341160904407
WM,0.016073443181292526
WAT,0.02077453502041884
WEC,0.01923094511688468
WFC,0.02834449913984779
WELL,0.030917973210633744
WST,0.022890630675700803
WDC,0.03444774331048451
WY,0.02956295105181044
WMB,0.027143476896041605
WTW,0.019595484783821178
WYNN,0.04075205824222887
XEL,0.017928976397354912
XYL,0.022523996100875292
YUM,0.01915918179401473
ZBRA,0.026925972888551412
ZBH,0.023015686035206186
ZTS,0.01989177051129134
